Index,Date,Open,High,Low,Close*,Adj,Close**
SP,01/05/2021,4191.98,4238.04,4056.88,4163.29,4163.29,
SP,01/04/2021,3992.78,4218.78,3992.78,4181.17,4181.17,
SP,01/03/2021,3842.51,3994.41,3723.34,3972.89,3972.89,
SP,01/02/2021,3731.17,3950.43,3725.62,3811.15,3811.15,
SP,01/01/2021,3764.61,3870.9,3662.71,3714.24,3714.24,
SP,01/12/2020,3645.87,3760.2,3633.4,3756.07,3756.07,
SP,01/11/2020,3296.2,3645.99,3279.74,3621.63,3621.63,
SP,01/10/2020,3385.87,3549.85,3233.94,3269.96,3269.96,
SP,01/09/2020,3507.44,3588.11,3209.45,3363,3363,
SP,01/08/2020,3288.26,3514.77,3284.53,3500.31,3500.31,
SP,01/07/2020,3105.92,3279.99,3101.17,3271.12,3271.12,
SP,01/06/2020,3038.78,3233.13,2965.66,3100.29,3100.29,
SP,01/05/2020,2869.09,3068.67,2766.64,3044.31,3044.31,
SP,01/04/2020,2498.08,2954.86,2447.49,2912.43,2912.43,
SP,01/03/2020,2974.28,3136.72,2191.86,2584.59,2584.59,
SP,01/02/2020,3235.66,3393.52,2855.84,2954.22,2954.22,
SP,01/01/2020,3244.67,3337.77,3214.64,3225.52,3225.52,
SP,01/12/2019,3143.85,3247.93,3070.33,3230.78,3230.78,
SP,01/11/2019,3050.72,3154.26,3050.72,3140.98,3140.98,
SP,01/10/2019,2983.69,3050.1,2855.94,3037.56,3037.56,
SP,01/09/2019,2909.01,3021.99,2891.85,2976.74,2976.74,
SP,01/08/2019,2980.32,3013.59,2822.12,2926.46,2926.46,
SP,01/07/2019,2971.41,3027.98,2952.22,2980.38,2980.38,
SP,01/06/2019,2751.53,2964.15,2728.81,2941.76,2941.76,
SP,01/05/2019,2952.33,2954.13,2750.52,2752.06,2752.06,
SP,01/04/2019,2848.63,2949.52,2848.63,2945.83,2945.83,
SP,01/03/2019,2798.22,2860.31,2722.27,2834.4,2834.4,
SP,01/02/2019,2702.32,2813.49,2681.83,2784.49,2784.49,
SP,01/01/2019,2476.96,2708.95,2443.96,2704.1,2704.1,
SP,01/12/2018,2790.5,2800.18,2346.58,2506.85,2506.85,
SP,01/11/2018,2717.58,2815.15,2631.09,2760.17,2760.17,
SP,01/10/2018,2926.29,2939.86,2603.54,2711.74,2711.74,
SP,01/09/2018,2896.96,2940.91,2864.12,2913.98,2913.98,
SP,01/08/2018,2821.17,2916.5,2796.34,2901.52,2901.52,
SP,01/07/2018,2704.95,2848.03,2698.95,2816.29,2816.29,
SP,01/06/2018,2718.7,2791.47,2691.99,2718.37,2718.37,
SP,01/05/2018,2642.96,2742.24,2594.62,2705.27,2705.27,
SP,01/04/2018,2633.45,2717.49,2553.8,2648.05,2648.05,
SP,01/03/2018,2715.22,2801.9,2585.89,2640.87,2640.87,
SP,01/02/2018,2816.45,2835.96,2532.69,2713.83,2713.83,
SP,01/01/2018,2683.73,2872.87,2682.36,2823.81,2823.81,
SP,01/12/2017,2645.1,2694.97,2605.52,2673.61,2673.61,
SP,01/11/2017,2583.21,2657.74,2557.45,2647.58,2647.58,
SP,01/10/2017,2521.2,2582.98,2520.4,2575.26,2575.26,
SP,01/09/2017,2474.42,2519.44,2446.55,2519.36,2519.36,
SP,01/08/2017,2477.1,2490.87,2417.35,2471.65,2471.65,
SP,01/07/2017,2431.39,2484.04,2407.7,2470.3,2470.3,
SP,01/06/2017,2415.65,2453.82,2405.7,2423.41,2423.41,
SP,01/05/2017,2388.5,2418.71,2352.72,2411.8,2411.8,
SP,01/04/2017,2362.34,2398.16,2328.95,2384.2,2384.2,
SP,01/03/2017,2380.13,2400.98,2322.25,2362.72,2362.72,
SP,01/02/2017,2285.59,2371.54,2271.65,2363.64,2363.64,
SP,01/01/2017,2251.57,2300.99,2245.13,2278.87,2278.87,
SP,01/12/2016,2200.17,2277.53,2187.44,2238.83,2238.83,
SP,01/11/2016,2128.68,2214.1,2083.79,2198.81,2198.81,
SP,01/10/2016,2164.33,2169.6,2114.72,2126.15,2126.15,
SP,01/09/2016,2171.33,2187.87,2119.12,2168.27,2168.27,
SP,01/08/2016,2173.15,2193.81,2147.58,2170.95,2170.95,
SP,01/07/2016,2099.34,2177.09,2074.02,2173.6,2173.6,
SP,01/06/2016,2093.94,2120.55,1991.68,2098.86,2098.86,
SP,01/05/2016,2067.17,2103.48,2025.91,2096.95,2096.95,
SP,01/04/2016,2056.62,2111.05,2033.8,2065.3,2065.3,
SP,01/03/2016,1937.09,2072.21,1937.09,2059.74,2059.74,
SP,01/02/2016,1936.94,1962.96,1810.1,1932.23,1932.23,
SP,01/01/2016,2038.2,2038.2,1812.29,1940.24,1940.24,
SP,01/12/2015,2082.93,2104.27,1993.26,2043.94,2043.94,
SP,01/11/2015,2080.76,2116.48,2019.39,2080.41,2080.41,
SP,01/10/2015,1919.65,2094.32,1893.7,2079.36,2079.36,
SP,01/09/2015,1970.09,2020.86,1871.91,1920.03,1920.03,
SP,01/08/2015,2104.49,2112.66,1867.01,1972.18,1972.18,
SP,01/07/2015,2067,2132.82,2044.02,2103.84,2103.84,
SP,01/06/2015,2108.64,2129.87,2056.32,2063.11,2063.11,
SP,01/05/2015,2087.38,2134.72,2067.93,2107.39,2107.39,
SP,01/04/2015,2067.63,2125.92,2048.38,2085.51,2085.51,
SP,01/03/2015,2105.23,2117.52,2039.69,2067.89,2067.89,
SP,01/02/2015,1996.67,2119.59,1980.9,2104.5,2104.5,
SP,01/01/2015,2058.9,2072.36,1988.12,1994.99,1994.99,
SP,01/12/2014,2065.78,2093.55,1972.56,2058.9,2058.9,
SP,01/11/2014,2018.21,2075.76,2001.01,2067.56,2067.56,
SP,01/10/2014,1971.44,2018.19,1820.66,2018.05,2018.05,
SP,01/09/2014,2004.07,2019.26,1964.04,1972.29,1972.29,
SP,01/08/2014,1929.8,2005.04,1904.78,2003.37,2003.37,
SP,01/07/2014,1962.29,1991.39,1930.67,1930.67,1930.67,
SP,01/06/2014,1923.87,1968.17,1915.98,1960.23,1960.23,
